Site ID,Latitude,Longitude,Site Address,CGI
1135,26.9196°N,75.7878°E,"Vaishali Nagar, Jaipur, Rajasthan",404-45-1135-1
1136,12.9719°N,77.6494°E,"Whitefield, Bengaluru, Karnataka",404-45-1136-1
1137,22.3039°N,70.8022°E,"Kalavad Road, Rajkot, Gujarat",404-45-1137-1
1138,32.7266°N,74.8570°E,"Gandhi Nagar, Jammu, Jammu & Kashmir",404-45-1138-1
1139,10.8505°N,76.2711°E,"Palakkad Town, Palakkad, Kerala",404-45-1139-1
1140,19.2183°N,73.1651°E,"Kalyan West, Thane, Maharashtra",404-45-1140-1
1141,28.4089°N,77.3178°E,"Old Faridabad, Faridabad, Haryana",404-45-1141-1
1142,12.9279°N,77.6271°E,"Koramangala, Bengaluru, Karnataka",404-45-1142-1
1143,20.9374°N,77.7796°E,"Civil Lines, Amravati, Maharashtra",404-45-1143-1
1144,17.6893°N,83.2185°E,"Jagadamba Junction, Visakhapatnam, Andhra Pradesh",404-45-1144-1
1145,23.2334°N,77.4306°E,"TT Nagar, Bhopal, Madhya Pradesh",404-45-1145-1
1146,24.0951°N,88.2676°E,"Rabindra Sarani, Berhampore, West Bengal",404-45-1146-1
1147,21.6417°N,69.6293°E,"Porbandar Beach Road, Porbandar, Gujarat",404-45-1147-1
1148,28.4783°N,77.4962°E,"Sohna Road, Gurgaon, Haryana",404-45-1148-1
1149,26.7606°N,83.3732°E,"Golghar, Gorakhpur, Uttar Pradesh",404-45-1149-1
1150,21.2200°N,81.6400°E,"Pandri, Raipur, Chhattisgarh",404-45-1150-1
1151,26.9381°N,75.7804°E,"Malviya Nagar, Jaipur, Rajasthan",404-45-1151-1
1152,31.6339°N,74.8723°E,"Ranjit Avenue, Amritsar, Punjab",404-45-1152-1
1153,23.1793°N,79.9381°E,"Napier Town, Jabalpur, Madhya Pradesh",404-45-1153-1
1154,22.7389°N,75.8893°E,"Vijay Nagar, Indore, Madhya Pradesh",404-45-1154-1
1155,15.8507°N,74.4987°E,"Belgaum Fort Road, Belgaum, Karnataka",404-45-1155-1
1156,22.6922°N,88.3442°E,"Howrah Maidan, Howrah, West Bengal",404-45-1156-1
1157,10.9481°N,79.4000°E,"Anna Nagar, Thanjavur, Tamil Nadu",404-45-1157-1
1158,12.9299°N,79.1333°E,"Gandhi Road, Vellore, Tamil Nadu",404-45-1158-1
1159,26.1503°N,85.8982°E,"Dharamshala Road, Muzaffarpur, Bihar",404-45-1159-1
1160,19.9544°N,79.2960°E,"Rajura, Chandrapur, Maharashtra",404-45-1160-1
1161,28.5355°N,77.3910°E,"Sector 62, Noida, Uttar Pradesh",404-45-1161-1
1162,22.5726°N,88.4240°E,"New Town, Kolkata, West Bengal",404-45-1162-1
1163,18.5912°N,73.7386°E,"Baner, Pune, Maharashtra",404-45-1163-1
1164,12.8980°N,77.6309°E,"Bellandur, Bengaluru, Karnataka",404-45-1164-1
1165,28.6448°N,77.2167°E,"Chandni Chowk, New Delhi",404-45-1165-1
1166,26.4725°N,80.3319°E,"Swaroop Nagar, Kanpur, Uttar Pradesh",404-45-1166-1
1167,15.4912°N,73.8213°E,"Vasco da Gama, Goa",404-45-1167-1
1168,20.8970°N,76.2630°E,"Gokul Colony, Jalna, Maharashtra",404-45-1168-1
1169,23.5204°N,87.3119°E,"City Center, Durgapur, West Bengal",404-45-1169-1
1170,19.9975°N,73.7898°E,"Gangapur Road, Nashik, Maharashtra",404-45-1170-1
1171,22.2587°N,71.1924°E,"Waghodia Road, Vadodara, Gujarat",404-45-1171-1
1172,30.7046°N,76.7179°E,"Zirakpur, Punjab",404-45-1172-1
1173,26.9239°N,75.8267°E,"Jawahar Nagar, Jaipur, Rajasthan",404-45-1173-1
1174,21.1702°N,72.8311°E,"Piplod, Surat, Gujarat",404-45-1174-1
1175,11.1271°N,78.6569°E,"Thillai Nagar, Tiruchirappalli, Tamil Nadu",404-45-1175-1
1176,13.3392°N,77.1130°E,"Doddaballapura, Karnataka",404-45-1176-1
1177,25.1860°N,75.8513°E,"Gumanpura, Kota, Rajasthan",404-45-1177-1
1178,23.3441°N,85.3096°E,"Kanke Road, Ranchi, Jharkhand",404-45-1178-1
1179,21.1466°N,79.0882°E,"Dharampeth, Nagpur, Maharashtra",404-45-1179-1
1180,31.6200°N,74.8792°E,"Golden Temple Road, Amritsar, Punjab",404-45-1180-1
1181,10.0889°N,77.0595°E,"Kottayam Road, Thodupuzha, Kerala",404-45-1181-1
1182,22.4717°N,88.3476°E,"Gariahat, Kolkata, West Bengal",404-45-1182-1
1183,27.2162°N,77.4905°E,"Bharatpur Road, Mathura, Uttar Pradesh",404-45-1183-1
1184,22.5727°N,88.3639°E,"Esplanade, Kolkata, West Bengal",404-45-1184-1
1185,29.8543°N,77.8880°E,"Bhagirathi Nagar, Haridwar, Uttarakhand",404-45-1185-1
1186,22.5700°N,88.4011°E,"Ballygunge, Kolkata, West Bengal",404-45-1186-1
1187,16.5160°N,80.6325°E,"MG Road, Vijayawada, Andhra Pradesh",404-45-1187-1
1188,26.1445°N,91.7362°E,"Dispur, Guwahati, Assam",404-45-1188-1
1189,12.5093°N,79.8833°E,"Mahabalipuram Beach Road, Tamil Nadu",404-45-1189-1
1190,19.8721°N,75.3433°E,"Aurangpura, Aurangabad, Maharashtra",404-45-1190-1
1191,28.9945°N,77.0184°E,"Raj Nagar, Ghaziabad, Uttar Pradesh",404-45-1191-1
1192,13.0674°N,80.2432°E,"Egmore, Chennai, Tamil Nadu",404-45-1192-1
1193,21.2120°N,81.3583°E,"Bhilai Nagar, Bhilai, Chhattisgarh",404-45-1193-1
1194,30.7352°N,76.7911°E,"Phase 3B2, Mohali, Punjab",404-45-1194-1
1195,23.8293°N,91.2866°E,"Palace Compound, Agartala, Tripura",404-45-1195-1
1196,24.8234°N,93.9405°E,"Thangal Bazar, Imphal, Manipur",404-45-1196-1
1197,32.7266°N,74.8570°E,"Satwari, Jammu, Jammu & Kashmir",404-45-1197-1
1198,25.3645°N,86.9842°E,"Badi Dargah, Bhagalpur, Bihar",404-45-1198-1
1199,23.6000°N,72.3831°E,"Mehsana, Gujarat",404-45-1199-1
1200,11.6621°N,78.1602°E,"Salem New Bus Stand, Salem, Tamil Nadu",404-45-1200-1
